ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
OH02538,OHIO DEPT OF NATURAL RESOURCES,,,,,,,,,,,
OHOHP00,OHIO STATE HGHWAY PATROL,,280,209,3,42,6,229,3,157,49,4
,TOTAL,,280,209,3,42,6,229,3,157,49,4
,,,,,,,,,,,,
OH00102,PEEBLES,"1,746",3,3,,,,3,1,1,1,
OH00103,WEST UNION,"3,168",6,19,,,,6,1,13,5,
OH00106,SEAMAN,907,,9,,,,,4,3,2,
OH00107,WINCHESTER,"1,025",,9,,,,,2,6,1,
OH00100,ADAMS COUNTY SHERIFF,"21,026",13,178,2,4,1,6,71,94,13,
,ADAMS COUNTY TOTAL,"27,872",22,218,2,4,1,15,79,117,22,
,,,,,,,,,,,,
OH00204,LIMA,"37,220",275,"1,982",5,52,81,137,569,"1,334",79,20
OH00201,BLUFFTON,"3,987",1,46,,1,,,9,36,1,
OH00202,DELPHOS,"3,927",3,90,,3,,,17,72,1,
OH00205,SPENCERVILLE,"2,184",,14,,,,,5,9,,
OH00207,ELIDA,"1,836",1,4,,,,1,1,3,,
OH00211,SHAWNEE TOWNSHIP,"12,096",14,135,1,4,3,6,24,108,3,
OH00213,AMERICAN TOWNSHIP,"12,208",1,209,,,,1,15,183,11,
OH00216,MARION TOWNSHIP,"2,916",,1,,,,,,1,,
OH00200,ALLEN COUNTY SHERIFF,"23,798",30,659,,12,12,6,162,481,16,3
,ALLEN COUNTY TOTAL,"100,172",325,"3,140",6,72,96,151,802,"2,227",111,23
,,,,,,,,,,,,
OH00301,ASHLAND,"20,485",25,375,,7,4,14,44,326,5,
OH00302,LOUDONVILLE,"2,581",3,66,1,1,1,,6,59,1,1
OH00300,ASHLAND,"29,919",35,204,,20,,15,50,137,17,1
,ASHLAND COUNTY TOTAL,"52,985",63,645,1,28,5,29,100,522,23,2
,,,,,,,,,,,,
OH00405,GENEVA-ON-THE-LAKE,"1,199",7,33,,3,1,3,7,24,2,
OH00410,ROAMING SHORES VILLAGE,"1,466",,1,,,,,1,,,
OH00400,ASHTABULA COUNTY SHERIFF,"49,924",42,580,,8,4,30,170,366,44,1
,ASHTABULA COUNTY TOTAL,"52,589",49,614,,11,5,33,178,390,46,1
,,,,,,,,,,,,
OH00501,ATHENS,"25,526",34,433,,4,6,24,44,370,19,5
OH00502,GLOUSTER,"1,793",3,33,,1,,2,9,23,1,
OH00503,NELSONVILLE,"5,284",13,152,,2,4,7,32,114,6,
OH00504,ALBANY,899,,11,,,,,1,10,,
OH00510,OHIO UNIVERSITY,,9,102,,8,1,,13,86,3,
OH00512,COOLVILLE,492,,,,,,,,,,
OH00500,ATHENS COUNTY SHERIFF,"31,510",20,391,1,9,4,6,118,255,18,1
,ATHENS COUNTY TOTAL,"65,504",79,"1,122",1,24,15,39,217,858,47,6
,,,,,,,,,,,,
OH00601,ST. MARYS,"8,215",3,129,,,1,2,34,89,6,2
OH00602,WAPAKONETA,"9,809",14,164,,6,3,5,25,137,2,1
OH00605,MINSTER,"2,866",,,,,,,,,,
OH00606,NEW BREMEN,"2,966",,20,,,,,1,19,,
OH00607,NEW KNOXVILLE,864,,5,,,,,,5,,
OH00600,AUGLAIZE COUNTY SHERIFF,"18,192",6,123,,2,2,2,32,89,2,1
,AUGLAIZE COUNTY TOTAL,"42,912",23,441,,8,6,9,92,339,10,4
,,,,,,,,,,,,
OH00701,BARNESVILLE,"4,096",,16,,,,,4,11,1,
OH00702,BELLAIRE,"4,153",8,39,1,2,1,4,6,33,,
OH00703,BRIDGEPORT,"1,783",3,22,,1,,2,2,15,5,
OH00704,MARTINS FERRY,"6,731",13,70,,6,,7,12,52,6,
OH00705,POWHATAN POINT,"1,562",,3,,,,,1,2,,
OH00706,SHADYSIDE,"3,649",,2,,,,,1,1,,
OH00707,ST. CLAIRSVILLE,"5,096",1,9,,,,1,1,8,,
OH00711,FLUSHING,858,,3,,,,,,3,,
OH04106,YORKVILLE,449,,3,,,,,1,2,,
OH00700,BELMONT COUNTY SHERIFF,"29,108",34,314,2,10,2,20,52,232,30,4
,BELMONT COUNTY TOTAL,"57,485",59,481,3,19,3,34,80,359,42,4
,,,,,,,,,,,,
OH00801,ABERDEEN,"1,596",2,14,,,2,,6,8,,
OH00802,GEORGETOWN,"4,356",10,104,,6,3,1,23,78,3,
OH00803,RIPLEY,"1,707",2,19,,1,,1,3,13,3,
OH00807,MOUNT ORAB,"3,525",4,96,1,2,,1,4,84,8,
OH00808,RUSSELLVILLE,524,,1,,,,,,1,,
OH00813,LAKE WAYNOKA RANGER,,1,14,,,,1,6,6,2,
OH00800,BROWN COUNTY SHERIFF,"30,711",26,272,,6,2,18,99,157,16,
,BROWN COUNTY TOTAL,"42,419",45,520,1,15,7,22,141,347,32,
,,,,,,,,,,,,
OH00901,FAIRFIELD,"42,627",90,932,1,11,12,66,99,782,51,2
OH00902,HAMILTON,"62,094",312,"2,608",3,75,111,123,716,"1,890",2,33
OH00903,MIDDLETOWN,"46,069",235,"2,788",5,39,82,109,645,"1,973",170,
OH00905,MONROE,"15,858",19,403,,2,5,12,35,361,7,
OH00906,NEW MIAMI,"2,332",,3,,,,,1,2,,
OH00907,OXFORD,"22,459",18,488,,5,7,6,82,400,6,2
OH00913,OXFORD TOWNSHIP,"2,181",2,25,,,,2,4,16,5,
OH00915,WEST CHESTER TOWNSHIP,"61,386",64,"1,300",,21,15,28,170,"1,086",44,5
OH00916,ROSS TOWNSHIP,"8,755",16,82,,3,1,12,27,52,3,
OH00917,MIAMI UNIVERSITY,,26,140,,19,1,6,9,131,,9
OH00918,FAIRFIELD TOWNSHIP,"22,524",26,758,1,2,7,16,55,695,8,1
OH00900,BUTLER COUNTY SHERIFF,"78,382",37,989,1,11,12,13,220,761,8,1
OH00919,BUTLER COUNTY METROPARKS,,,1,,,,,,1,,
,BUTLER COUNTY TOTAL,"364,667",845,"10,517",11,188,253,393,"2,063","8,150",304,53
,,,,,,,,,,,,
OH07609,MINERVA,"1,729",1,16,,,,1,3,12,1,
OH07630,MAGNOLIA,258,,4,,,,,1,3,,
,CARROLL COUNTY TOTAL,"1,987",1,20,,,,1,4,15,1,
,,,,,,,,,,,,
OH01101,MECHANICSBURG,"1,585",3,28,,1,,2,5,22,1,1
OH01102,URBANA,"11,351",25,404,1,3,5,16,62,329,13,3
OH01106,ST. PARIS,"2,006",1,9,,,,1,1,6,2,
OH01100,CHAMPAIGN COUNTY SHERIFF,"23,692",15,227,1,1,1,12,82,128,17,2
,CHAMPAIGN COUNTY TOTAL,"38,634",44,668,2,5,6,31,150,485,33,6
,,,,,,,,,,,,
OH01202,SPRINGFIELD,"58,843",370,"4,024",9,25,177,159,"1,040","2,691",293,76
OH01206,ENON,"2,381",,2,,,,,1,,1,
OH01209,SOUTH CHARLESTON,"1,640",2,37,,,,2,5,28,4,
OH01210,TREMONT CITY,366,,3,,,,,,3,,
OH01211,SOUTH VIENNA,375,,8,,,,,1,4,3,
OH01200,CLARK COUNTY SHERIFF,"63,833",21,798,,7,3,11,221,548,29,5
,CLARK COUNTY TOTAL,"127,438",393,"4,872",9,32,180,172,"1,268","3,274",330,81
,,,,,,,,,,,,
OH01301,BATAVIA,"1,656",,57,,,,,7,46,4,
OH01302,BETHEL,"2,791",3,87,,,,3,14,71,2,
OH01303,MILFORD,"6,910",14,191,,4,1,9,22,158,11,
OH01304,AMELIA,"4,982",3,63,,,,3,2,58,3,
OH01306,FELICITY,825,3,31,,1,,2,4,26,1,
OH01310,NEW RICHMOND,"2,663",6,61,,,,6,13,45,3,
OH01311,NEWTONSVILLE,365,2,,,,,2,,,,
OH01312,OWENSVILLE,823,2,6,,,,2,,5,1,
OH01313,WILLIAMSBURG,"2,565",4,58,,1,,3,11,45,2,1
OH01314,GOSHEN TOWNSHIP,"15,860",7,165,,5,1,1,32,118,15,1
OH01315,MIAMI TOWNSHIP,"42,352",34,625,,12,3,19,77,529,19,
OH01316,UNION TOWNSHIP,"48,214",39,891,,25,4,10,123,752,16,3
OH01317,PIERCE TOWNSHIP,"11,623",5,151,,2,1,2,28,118,5,3
OH03120,LOVELAND,"2,070",2,18,,1,,1,4,13,1,
OH01300,CLERMONT COUNTY SHERIFF,"60,756",141,"1,166",,39,10,92,358,744,64,5
,CLERMONT COUNTY TOTAL,"204,455",265,"3,570",,90,20,155,695,"2,728",147,13
,,,,,,,,,,,,
OH01401,BLANCHESTER,"4,261",12,99,,6,2,4,23,71,5,
OH01402,NEW VIENNA,"1,201",,13,,,,,3,7,3,
OH01403,SABINA,"2,534",3,52,,2,,1,15,37,,1
OH01404,WILMINGTON,"12,416",23,645,,3,8,12,72,562,11,
OH03604,LYNCHBURG,2,,,,,,,,,,
OH01400,CLINTON COUNTY SHERIFF,"21,598",4,37,,,1,3,7,25,5,1
,CLINTON COUNTY TOTAL,"42,012",42,846,,11,11,20,120,702,24,2
,,,,,,,,,,,,
OH01501,COLUMBIANA,"5,583",3,33,,1,1,1,3,30,,
OH01503,EAST PALESTINE,"4,503",11,82,,2,1,8,22,58,2,1
OH01505,LISBON,"2,680",1,26,,1,,,6,19,1,
OH01506,SALEM,"11,883",21,348,,4,1,16,20,324,4,1
OH01507,SALINEVILLE,"1,240",,18,,,,,4,14,,2
OH01508,WELLSVILLE,"3,347",,1,,,,,,1,,
OH01510,NEW WATERFORD,"1,183",,3,,,,,1,2,,
OH01513,WASHINGTONVILLE,424,,2,,,,,1,1,,
OH01515,ST. CLAIR TOWNSHIP,"7,583",,26,,,,,,26,,
OH01519,PERRY TOWNSHIP,"4,381",,3,,,,,2,1,,
OH01520,CENTER TOWNSHIP,"3,356",1,,,,,1,,,,
OH07609,MINERVA,2,,,,,,,,,,
OH01500,COLUMBIANA COUNTY SHERIFF,"37,723",12,60,2,5,,5,14,40,6,
,COLUMBIANA COUNTY TOTAL,"83,888",49,602,2,13,3,31,73,516,13,4
,,,,,,,,,,,,
OH01606,WEST LAFAYETTE,"2,287",3,6,,2,,1,1,5,,
OH01600,COSHOCTON COUNTY SHERIFF,"34,357",37,457,,8,5,24,123,319,15,5
,COSHOCTON COUNTY TOTAL,"36,644",40,463,,10,5,25,124,324,15,5
,,,,,,,,,,,,
OH01701,BUCYRUS,"11,828",26,436,,6,4,16,82,348,6,
OH01702,CRESTLINE,"4,390",11,69,,6,3,2,24,40,5,
OH01703,GALION,"10,073",12,285,,7,,5,51,229,5,2
OH01700,CRAWFORD COUNTY SHERIFF,"14,701",,110,,,,,37,64,9,
,CRAWFORD COUNTY TOTAL,"40,992",49,900,,19,7,23,194,681,25,2
,,,,,,,,,,,,
OHCLP00,CLEVELAND,"385,351","5,999","18,944",107,497,"2,697","2,698","5,853","9,696","3,395",253
OH018A1,NOTRE DAME COLLEGE,,2,38,,2,,,9,29,,
OH01801,BAY VILLAGE,"15,327",2,73,,1,,1,11,61,1,
OH01803,BEDFORD,"12,641",25,228,1,1,16,7,50,146,32,
OH01804,BEDFORD HEIGHTS,"10,558",22,255,1,1,9,11,32,173,50,
OH01806,BEREA,"18,871",8,140,,1,1,6,27,105,8,2
OH01808,BRECKSVILLE,"13,432",2,52,,1,,1,4,47,1,
OH01809,BROADVIEW HEIGHTS,"19,228",1,21,,,,1,5,11,5,
OH01810,BROOKLYN,"10,809",23,677,1,5,11,6,31,612,34,
OH01813,CHAGRIN FALLS,"3,991",2,39,,1,,1,3,36,,
OH01815,CLEVELAND HEIGHTS,"44,525",131,879,2,16,79,34,125,655,99,1
OH01817,EAST CLEVELAND,"17,178",136,339,5,8,83,40,100,89,150,3
OH01818,EUCLID,"47,270",303,"1,267",4,26,118,155,226,910,131,6
OH01819,FAIRVIEW PARK,"16,307",18,176,1,1,4,12,14,155,7,1
OH01820,GARFIELD HEIGHTS,"27,846",,,,,,,,,,
OH01821,GATES MILLS,"2,232",2,24,,,1,1,2,20,2,
OH01822,GLENWILLOW,923,,3,,,,,,3,,
OH01823,HIGHLAND HEIGHTS,"8,434",7,132,,1,2,4,9,119,4,
OH01825,INDEPENDENCE,"7,135",3,129,,1,1,1,4,123,2,
OH01826,LAKEWOOD,"50,151",74,"1,199",2,6,40,26,469,652,78,5
OH01827,LYNDHURST,"13,586",18,180,,,7,11,21,148,11,
OH01829,MAYFIELD HEIGHTS,"18,724",13,188,1,1,5,6,12,170,6,
OH01832,MORELAND HILLS,"3,315",,14,,,,,2,12,,
OH01834,NORTH OLMSTED,"31,779",26,470,,6,11,9,40,398,32,
OH01836,NORTH ROYALTON,"30,313",7,103,3,,,4,22,80,1,
OH01838,OLMSTED TOWNSHIP,"13,157",1,50,,1,,,16,32,2,
OH01839,OLMSTED FALLS,"8,898",3,31,,1,1,1,9,19,3,
OH01842,PARMA,"79,340",141,906,,39,37,65,199,633,74,2
OH01843,PARMA HEIGHTS,"20,094",1,53,,,,1,10,40,3,
OH01844,PEPPER PIKE,"6,256",3,42,1,1,,1,10,32,,
OH01845,RICHMOND HEIGHTS,"10,432",19,206,,,12,7,37,146,23,
OH01846,ROCKY RIVER,"20,342",7,73,,1,2,4,7,62,4,
OH01847,SEVEN HILLS,"11,668",3,50,,,1,2,14,33,3,
OH01849,SOLON,"23,023",13,182,,2,4,7,25,146,11,
OH01850,SOUTH EUCLID,"21,628",33,645,,5,14,14,74,536,35,
OH01851,STRONGSVILLE,"44,758",18,852,2,1,9,6,67,760,25,
OH01852,UNIVERSITY HEIGHTS,"13,104",30,288,,4,19,7,16,257,15,
OH01853,VALLEY VIEW,"2,007",1,47,,,,1,7,34,6,1
OH01854,WALTON HILLS,"2,308",1,19,,1,,,7,11,1,
OH01856,HIGHLAND HILLS,944,,,,,,,,,,
OH01857,WESTLAKE,"32,330",13,366,,1,9,3,25,326,15,
OH01859,WOODMERE VILLAGE,859,1,41,,,1,,,36,5,
OH01861,CLEVELAND STATE UNIVERSITY,,13,146,,3,10,,6,124,16,
OH01862,LINNDALE,177,,,,,,,,,,
OH01863,CLEVELAND METRO PARKS,,14,106,,3,5,6,2,98,6,4
OH01864,CUYAHOGA COMMUNITY COLLEGE,,,32,,,,,2,29,1,
OH01800,CUYAHOGA COUNTY SHERIFF,,3,3,1,1,,1,,3,,
,CUYAHOGA COUNTY TOTAL,"1,121,251","7,142","29,708",132,640,"3,209","3,161","7,604","17,807","4,297",278
,,,,,,,,,,,,
OH01901,GREENVILLE,"12,772",40,274,,13,7,20,36,217,21,7
OH01900,DARKE,"33,058",8,5,,,,8,3,2,,2
,DARKE COUNTY TOTAL,"45,830",48,279,,13,7,28,39,219,21,9
,,,,,,,,,,,,
OH02001,DEFIANCE,"16,594",26,464,,14,3,9,54,390,20,1
OH02000,DEFIANCE,"18,083",13,135,,9,,4,31,100,4,1
,DEFIANCE COUNTY TOTAL,"34,677",39,599,,23,3,13,85,490,24,2
,,,,,,,,,,,,
OHCOP00,COLUMBUS,"8,276",45,344,1,9,20,15,71,231,42,4
OH02101,DELAWARE,"39,315",64,697,,35,8,21,119,556,22,11
OH02105,POWELL,"13,029",6,103,,2,2,2,12,90,1,
OH02106,SHAWNEE HILLS,785,,6,,,,,1,5,,
OH02107,SUNBURY,"5,360",1,26,,,1,,5,20,1,
OH02503,DUBLIN,"4,534",3,53,,1,1,1,6,45,2,
OH02510,WESTERVILLE,"8,531",9,205,,3,3,3,17,184,4,
OH02100,DELAWARE,"93,188",60,"1,139",,23,9,28,211,908,20,6
,DELAWARE COUNTY TOTAL,"173,018",188,"2,573",1,73,44,70,442,"2,039",92,21
,,,,,,,,,,,,
OH02202,HURON,"6,950",4,116,,1,1,2,24,92,,
OH02203,SANDUSKY,"24,861",70,995,1,13,31,25,187,769,39,2
OH02204,VERMILION,"4,603",1,41,,,,1,6,35,,
OH02205,BAY VIEW,603,,8,,,,,4,4,,
OH02206,BERLIN HEIGHTS,713,,,,,,,,,,
OH02208,MILAN,983,1,7,,1,,,,7,,
OH02210,PERKINS TOWNSHIP,"11,773",9,303,1,,6,2,10,292,1,
OH02211,CEDAR POINT,,,18,,,,,,18,,
OH02200,ERIE COUNTY SHERIFF,"24,187",3,292,,,,3,53,234,5,
,ERIE COUNTY TOTAL,"74,673",88,"1,780",2,15,38,33,284,"1,451",45,2
,,,,,,,,,,,,
OHCOP00,COLUMBUS,"10,505",54,412,2,11,24,17,85,277,50,5
OH02301,LANCASTER,"40,026",127,"1,706",,24,33,70,236,"1,382",88,12
OH02303,BALTIMORE,"2,973",,15,,,,,3,11,1,1
OH02306,CARROLL,520,,3,,,,,2,1,,
OH02307,LITHOPOLIS,"1,448",,13,,,,,4,9,,
OH02308,MILLERSPORT,"1,050",,2,,,,,1,1,,
OH02309,PICKERINGTON,"20,297",38,351,,6,12,20,20,315,16,
OH02312,SUGAR GROVE,433,,1,,,,,,1,,
OH02508,REYNOLDSBURG,936,3,26,,1,1,1,3,22,1,
OH02300,FAIRFIELD,"75,853",38,962,,15,6,17,153,793,16,2
,FAIRFIELD COUNTY TOTAL,"154,041",260,"3,491",2,57,76,125,507,"2,812",172,20
,,,,,,,,,,,,
OH02401,WASHINGTON COURT HO,"14,136",41,548,,16,14,11,79,459,10,4
OH02400,FAYETTE,"14,453",37,432,1,5,3,28,109,308,15,1
,FAYETTE COUNTY TOTAL,"28,589",78,980,1,21,17,39,188,767,25,5
,,,,,,,,,,,,
OHCOP00,COLUMBUS,"853,424","4,379","33,652",139,899,"1,919","1,422","6,955","22,613","4,084",370
OH02307,LITHOPOLIS,42,,,,,,,,,,
OH02309,PICKERINGTON,76,,1,,,,,,1,,
OH025A1,CAPITAL UNIVERSITY,,,53,,,,,10,41,2,
OH02501,BEXLEY,"13,773",20,420,1,4,10,5,104,301,15,
OH02503,DUBLIN,"39,242",27,456,1,10,8,8,51,388,17,1
OH02504,GAHANNA,"35,243",25,791,1,13,5,6,87,677,27,6
OH02505,GRANDVIEW HEIGHTS,"7,831",,43,,,,,5,37,1,
OH02506,GROVE CITY,"40,421",47,"1,365",4,14,24,5,112,"1,197",56,
OH02507,HILLIARD,"36,144",17,404,,6,2,9,75,293,36,2
OH02508,REYNOLDSBURG,"27,631",71,780,1,16,35,19,98,656,26,3
OH02509,UPPER ARLINGTON,"35,214",12,512,,3,6,3,88,417,7,2
OH02510,WESTERVILLE,"30,887",35,740,,9,13,13,60,667,13,2
OH02511,WHITEHALL,"18,835",125,"1,269",,11,69,45,187,"1,001",81,12
OH02512,WORTHINGTON,"14,692",11,267,2,2,3,4,27,227,13,1
OH02514,COLUMBUS & FRKLN COUNTY,,,2,,,,,,2,,
OH02516,GROVEPORT,"5,583",12,185,,3,6,3,29,144,12,1
OH02517,HARRISBURG,337,,1,,,,,,1,,
OH02520,MINERVA PARK,"1,318",2,17,,,1,1,2,14,1,
OH02521,NEW ALBANY,"10,670",4,91,,2,,2,6,81,4,
OH02527,OHIO STATE UNIVERSITY: COLUMBUS,,41,798,,30,5,6,24,763,11,1
OH02534,PERRY TOWNSHIP,"3,758",2,53,,,1,1,4,47,2,
OH02535,MADISON TOWNSHIP,"18,661",19,187,,2,5,12,51,129,7,
OH02540,SHARON TOWNSHIP,"2,390",,41,,,,,3,37,1,
OH02544,COLUMBUS STATE COMMUNITY COLLEGE,,1,43,,,1,,1,41,1,
OH02599,OTTERBEIN UNIVERSITY,,,24,,,,,1,23,,
OH02500,FRANKLIN COUNTY SHERIFF,"58,934",60,683,2,4,35,19,160,498,25,2
,FRANKLIN COUNTY TOTAL,"1,255,106","4,910","42,878",151,"1,028","2,148","1,583","8,140","30,296","4,442",403
,,,,,,,,,,,,
OH02601,ARCHBOLD,"4,338",2,41,,1,,1,6,34,1,
OH02603,FAYETTE,"1,265",2,12,,2,,,2,10,,1
OH02604,SWANTON,"3,768",5,51,,4,,1,8,39,4,
OH02605,WAUSEON,"7,407",10,169,,1,1,8,14,151,4,
OH02600,FULTON COUNTY SHERIFF,"22,688",24,191,,7,1,16,58,131,2,
